No.,Title,Synopsis,Action,War,Adventure,Comedy,Drama,Romance,Sci-Fi,Fantasy,Horror,Mystery,Crime,Animation,Documentary,Rate
41,777 Charlie (2022),Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.,0,0,8.5,8.4,9,0,0,0,0,0,0,0,0,8.9
42,CODA (2021),"As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents.",0,0,6,8.1,8,0,0,0,0,0,0,0,0,8
43,The Bad Guys (2022),"To avoid prison, a gang of notorious animal criminals pretend to seek being rehabilitated, only for their leader to secretly find that he genuinely wants to change his ways.",0,0,7.1,8.3,0,0,0,0,0,0,0,0,0,6.9
44,17 Again (2009),Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.,0,0,0,8.6,5.8,0,0,6.1,0,0,0,0,0,6.4
45,Luckiest Girl Alive (2022),"A woman in New York, who seems to have things under control, is faced with a trauma that makes her life unravel.",0,0,0,8,8,9,0,0,0,0,0,0,0,6.4
46,Creed III(2023),"After dominating the boxing world, Adonis has been thriving in his career and family life. When a childhood friend and former boxing prodigy resurfaces, the face off between former friends is more than just a fight.",0,0,0,7,9,9,0,0,0,0,0,0,0,7
47,The Stranger (II) (2022),"Two men who meet on a plane and strike up a conversation that turns into friendship. For Henry Teague, worn down by a lifetime of physical labour and crime, this is a dream come true.",0,0,0,8,8,7,0,0,0,0,0,0,0,6.6
48,Amsterdam (2022),"In the 1930s, three friends witness a murder, are framed for it, and uncover one of the most outrageous plots in American history.",0,0,0,6,8,9,0,0,0,0,0,0,0,6.2
49,Kantara (2022),It involves culture of Kambla and Bhootha Kola. A human and nature conflict where Shiva is the rebellion who works against nature. A loop leads to war between villagers and evil forces. Will he able to replace peace in the village?,0,0,0,9,9,8,0,0,0,0,0,0,0,9.2
50,Black Panther: Wakanda Forever (2022),The nation of Wakanda is pitted against intervening world powers as they mourn the loss of their king T'Challa.,8,9,0,0,9,0,8,0,0,0,0,0,0,8.4
51,Don't Worry Darling (I) (2022),A 1950s housewife living with her husband in a utopian experimental community begins to worry that his glamorous company could be hiding disturbing secrets.,0,0,0,0,9,10,0,0,0,0,0,0,0,6.2
52,Ruam Phan Nak Su Phithak Chakkrawan (2014),A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,8.5,0,7,8.2,0,0,0,0,0,0,0,0,0,8
53,Green Book (2018),A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,0,0,0,8.5,8,0,0,0,0,0,0,0,0,8.2
54,Top Gun (1986),"As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.",10,9,0,0,8,0,0,0,0,0,0,0,0,6.9
55,The Lord of the Rings: The Fellowship of the Ring (2001),A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,0,0,0,0,8,0,9,8,0,0,0,0,0,8.8
56,The Blue Lagoon (1980),"In the Victorian period, two children are shipwrecked on a tropical island in the South Pacific. With no adults to guide them, the two make a simple life together, unaware that sexual maturity will eventually intervene.",0,0,10,0,10,10,0,0,0,0,0,0,0,5.8
57,Forrest Gump (1994),"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",0,0,0,0,8,10,0,0,0,0,0,0,0,8.8
58,Fifty Shades of Grey (2015),"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.",0,0,0,0,8,10,0,0,0,0,0,0,0,4.1
59,Charlie and the Chocolate Factory (2005),"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",0,0,7.7,7.3,0,0,0,0,0,0,0,0,0,6.7
60,About Time (I) (2013),"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",0,0,0,0,9,10,0,10,0,0,0,0,0,7.8
61,Cars (2006),"On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town, and learns that winning isn't everything in life",0,0,7.6,8,0,0,0,0,0,0,0,8.1,0,7.2
62,Romeo + Juliet (1996),Shakespeare's famous play is updated to the hip modern suburb of Verona still retaining its original dialogue.,0,0,0,0,10,10,0,0,0,0,0,0,0,6.7
63,Beauty and the Beast (I) (2017),"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.",0,0,8,0,10,10,0,10,0,0,0,0,0,7.1
64,La La Land (2016),"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",0,0,0,10,8,10,0,0,0,0,0,0,0,8
65,The Shape of Water (2017),"At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.",0,0,0,0,10,10,0,10,0,0,0,0,0,7.3
66,Aladdin (2019),A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,0,0,10,10,0,10,0,10,0,0,0,0,0,6.9
67,Black Adam (2022),"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods-and imprisoned just as quickly-Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",9,9,0,0,7,6,0,8,0,0,0,0,0,7.1
